date,payee,expenditure_code,description,amount,committee_name,position
05/30/2019,SCHOOLS AND COMMUNITIES FIRST,CONTRIBUTION,,9000,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
12/31/2019,AMALGAMATED BANK,OFFICE EXPENSES,,135,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
09/30/2019,AMALGAMATED BANK,OFFICE EXPENSES,,81,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
06/30/2019,AMALGAMATED BANK,OFFICE EXPENSES,,78,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
10/17/2019,SECRETARY OF STATE,OFFICE EXPENSES,,50,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
11/26/2019,SECRETARY OF STATE,OFFICE EXPENSES,,50,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
01/24/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
03/24/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
05/22/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
06/30/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
02/21/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
01/01/2020,AMALGAMATED BANK,OFFICE EXPENSES,,48,"PICO CALIFORNIA ACTION SUPPORTING SCHOOLS AND COMMUNITIES FIRST - YES ON 15, NO ON 20",support
