date,payee,expenditure_code,description,amount,committee_name,position
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,STAFF TIME,131827,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,STAFF TIME,80000,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST (C)(4) SERVED AS THE INTERMEDIARY.,26342,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,"ASHAN, NILOFER",CAMPAIGN CONSULTANTS,,21075,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CAMPAIGN WORKERS SALARIES,,13414,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,"STAFF TIME, MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS 1418520",4798,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,"STAFF TIME, MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS 1418520",3982,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,"STAFF TIME, MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS 1418520",3090,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,ALLIANCE SAN DIEGO MOBILIZATION FUND,CONTRIBUTION,"SIGNATURE GATHERING MOBILIZATION, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",2800,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UPLAND IX DBA MOBILE COMMONS,CONTRIBUTION,"PHONE BANKING, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",2367,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
