date,payee,expenditure_code,description,amount,committee_name,position
04/17/2020,"MENTZER MEDIA SERVICES, INC.","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,94120,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
05/21/2020,"MFOUR MOBILE RESEARCH, INC.",POLLING AND SURVEY RESEARCH,,70000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/30/2020,"BASELICE & ASSOCIATES, INC.",POLLING AND SURVEY RESEARCH,,66167,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
06/22/2020,"MFOUR MOBILE RESEARCH, INC.",POLLING AND SURVEY RESEARCH,,60800,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/03/2020,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,59000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,50000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/30/2020,"AC PUBLIC AFFAIRS, INC.",,"CNS, TRS",50000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
04/27/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,50000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
05/21/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,50000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
06/22/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,50000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
06/22/2020,"MCCARTHY HENNINGS WHALEN, INC.",T.V. OR CABLE AIRTIME AND PRODUCTION COSTS,,37730,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
05/21/2020,APPLIED PARADIGMS,T.V. OR CABLE AIRTIME AND PRODUCTION COSTS,,30085,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
06/11/2019,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,28600,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
08/05/2019,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,28600,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
04/27/2020,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,25000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
05/21/2020,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,25000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
06/22/2020,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,25000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/03/2020,"UNEARTH CAMPAIGNS, LLC","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,20500,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,"CALIFORNIA STRATEGIES CAMPAIGNS, LLC",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,"MERIDIAN PACIFIC, INC.",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,RICHARD CLAUSSEN,CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,ROSS COMMUNICATIONS,CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
02/25/2020,ZEZEN ALLIANCE,CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/30/2020,"AC PUBLIC AFFAIRS, INC.",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/30/2020,"CALIFORNIA STRATEGIES CAMPAIGNS, LLC",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
03/30/2020,"MERIDIAN PACIFIC, INC.",CAMPAIGN CONSULTANTS,,20000,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",oppose
