date,payee,expenditure_code,description,amount,committee_name,position
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,CONTRIBUTION,,1000000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,,315000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,"YES ON 15 - SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF LABOR GROUPS AND SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES, STUDENTS AND ESSENTIAL WORKERS",CONTRIBUTION,,305000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,CONTRIBUTION,,250000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,"YES ON A, AFFORDABLE HOMES FOR SAN FRANCISCANS NOW!",CONTRIBUTION,,200000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,,195000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,CONTRIBUTION,,185000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,SAN FRANCISCO COMMUNITIES AGAINST DISPLACEMENT,CONTRIBUTION,,100000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,NEIGHBORS FOR AN AFFORDABLE SAN JOSE,CONTRIBUTION,"REAL PROPERTY TRANSFER TAX, MEASURE E",49999,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
,"SILICON VALLEY RISING ACTION, YES ON PROP 15, NO ON PROP 22, A COALITION OF ECONOMIC AND SOCIAL JUSTICE NONPROFITS",CONTRIBUTION,,30000,CHAN ZUCKERBERG INITIATIVE ADVOCACY - YES ON 15 (NONPROFIT 501(C)(4)),support
