name_of_contributor,payment_type,city,state,zip,id_number,employer,occupation,amount,transaction_date,filed_date,transaction_number,committee_name,position
"LYFT, INC",NON-MONETARY,SAN FRANCISCO,CA,94107,,,,46904,4/1/2020,7/31/2020,2487622 - NON414,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"UBER TECHNOLOGIES, INC.",NON-MONETARY,SAN FRANCISCO,CA,94103,,,,5750,4/1/2020,7/31/2020,2487622 - NON415,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"UBER TECHNOLOGIES, INC.",NON-MONETARY,SAN FRANCISCO,CA,94103,,,,10799,5/1/2020,7/31/2020,2487622 - NON528,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"LYFT, INC",NON-MONETARY,SAN FRANCISCO,CA,94107,,,,23076,5/1/2020,7/31/2020,2487622 - NON529,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"UBER TECHNOLOGIES, INC.",NON-MONETARY,SAN FRANCISCO,CA,94103,,,,12533,6/1/2020,7/31/2020,2487622 - NON651,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"LYFT, INC",NON-MONETARY,SAN FRANCISCO,CA,94107,,,,24900,6/1/2020,7/31/2020,2487622 - NON652,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"DOORDASH, INC.",NON-MONETARY,SAN FRANCISCO,CA,94103,,,,667,6/17/2020,7/31/2020,2487622 - NON707,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"UBER TECHNOLOGIES, INC.",LOAN,SAN FRANCISCO,CA,94103,,,,0,10/30/2019,7/31/2020,2487622 - PAY19,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
"LYFT, INC",LOAN,SAN FRANCISCO,CA,94107,,,,0,10/30/2019,7/31/2020,2487622 - PAY21,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
POSTMATES INC.,LOAN,SAN FRANCISCO,CA,94103,,,,0,10/29/2019,7/31/2020,2487622 - PAY23,"YES ON 22 - SAVE APP-BASED JOBS AND SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS",support
